Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/8/2023 15:22,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-59,8,10,70.38,27.36,0,8630,-1
2/8/2023 15:22,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-81,9.8,10,70.29,28.8,0,22784,-1
2/8/2023 15:22,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-63,13.5,10,69.51,29.25,0,20772,-1
2/8/2023 15:23,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-75,12,10,70.18,27.1,0,22646,-1
2/8/2023 15:23,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-77,10.2,10,70.36,28.73,0,22785,-1
2/8/2023 15:23,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-61,10,10,69.89,26.89,0,22132,-1
2/8/2023 15:24,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-58,12.2,10,69.53,29.19,0,20773,-1
2/8/2023 15:24,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-70,11,10,70.27,27.1,0,22647,-1
2/8/2023 15:24,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-73,9.2,10,70.39,28.79,0,22786,-1
2/8/2023 15:25,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-60,14.5,10,69.53,29.32,0,20774,-1
2/8/2023 15:25,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-70,10.2,10,70.34,27.15,0,22648,-1
2/8/2023 15:25,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-59,11.2,10,70.54,27.5,0,8633,-1
2/8/2023 15:26,Mote03,qGEKNDQkZg8=,904900000,125,5,4/5,-79,10.2,10,70.43,28.95,0,22788,-1
2/8/2023 15:27,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-63,11.8,10,69.93,27.14,0,22135,-1
2/8/2023 15:27,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-59,11,10,70.5,27.55,0,8635,-1
2/8/2023 15:27,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-57,9.8,10,69.55,29.47,0,20777,-1
2/8/2023 15:27,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-70,9,10,70.36,28.95,0,22789,-1
2/8/2023 15:28,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-65,11.5,10,70.23,27.23,0,22651,-1
2/8/2023 15:28,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-63,9,10,70.47,27.58,0,8636,-1
2/8/2023 15:29,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-64,12,10,69.91,27.11,0,22137,-1
2/8/2023 15:29,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-78,12,10,70.29,29,0,22791,-1
2/8/2023 15:29,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-77,10.5,10,70.21,27.23,0,22652,-1
2/8/2023 15:29,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-58,11.8,10,69.55,29.43,0,20779,-1
2/8/2023 15:30,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-65,11.2,10,69.93,27.09,0,22138,-1
2/8/2023 15:30,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-71,11.5,10,70.21,27.2,0,22653,-1
